[2026-03-03T20:36:24.805024+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3583 | Diff = 0.1903%
[2026-03-03T20:54:23.482982+00:00] [ETH] WARNING: Kraken Spot = $1975.8000 | Coinbase Spot = $1972.4350 | Diff = 0.1703%
[2026-03-03T20:54:25.113748+00:00] [ETH] WARNING: Kraken Spot = $1975.5400 | Coinbase Spot = $1971.4650 | Diff = 0.2063%
[2026-03-03T20:54:26.831394+00:00] [ETH] WARNING: Kraken Spot = $1975.5400 | Coinbase Spot = $1972.4350 | Diff = 0.1572%
[2026-03-03T20:54:33.254944+00:00] [ETH] WARNING: Kraken Spot = $1975.5400 | Coinbase Spot = $1972.4350 | Diff = 0.1572%
[2026-03-03T20:54:35.052822+00:00] [ETH] WARNING: Kraken Spot = $1975.5400 | Coinbase Spot = $1972.4350 | Diff = 0.1572%
[2026-03-03T20:54:36.789919+00:00] [ETH] WARNING: Kraken Spot = $1975.5400 | Coinbase Spot = $1972.4350 | Diff = 0.1572%
[2026-03-03T20:59:23.760823+00:00] [SOL] WARNING: Kraken Spot = $84.7100 | Coinbase Spot = $84.8450 | Diff = 0.1594%
[2026-03-03T23:13:56.802132+00:00] [SOL] WARNING: Kraken Spot = $87.1900 | Coinbase Spot = $87.3600 | Diff = 0.1950%
[2026-03-03T23:13:58.846641+00:00] [SOL] WARNING: Kraken Spot = $87.1900 | Coinbase Spot = $87.4450 | Diff = 0.2925%
[2026-03-03T23:14:08.920781+00:00] [SOL] WARNING: Kraken Spot = $87.1000 | Coinbase Spot = $87.2700 | Diff = 0.1952%
[2026-03-03T23:14:10.608693+00:00] [SOL] WARNING: Kraken Spot = $87.1000 | Coinbase Spot = $87.2700 | Diff = 0.1952%
[2026-03-03T23:14:14.322241+00:00] [SOL] WARNING: Kraken Spot = $87.1000 | Coinbase Spot = $87.2650 | Diff = 0.1894%
[2026-03-03T23:14:16.157783+00:00] [SOL] WARNING: Kraken Spot = $87.0500 | Coinbase Spot = $87.2650 | Diff = 0.2470%
[2026-03-03T23:14:17.787423+00:00] [SOL] WARNING: Kraken Spot = $87.0100 | Coinbase Spot = $87.2650 | Diff = 0.2931%
[2026-03-03T23:14:21.416621+00:00] [SOL] WARNING: Kraken Spot = $87.0100 | Coinbase Spot = $87.2050 | Diff = 0.2241%
[2026-03-03T23:14:25.224122+00:00] [SOL] WARNING: Kraken Spot = $87.0100 | Coinbase Spot = $87.2050 | Diff = 0.2241%
[2026-03-03T23:14:28.725767+00:00] [SOL] WARNING: Kraken Spot = $87.0300 | Coinbase Spot = $87.2050 | Diff = 0.2011%
[2026-03-04T01:29:17.599499+00:00] [SOL] WARNING: Kraken Spot = $87.1500 | Coinbase Spot = $86.9650 | Diff = 0.2123%
[2026-03-04T01:29:19.308480+00:00] [SOL] WARNING: Kraken Spot = $87.1500 | Coinbase Spot = $86.9650 | Diff = 0.2123%
[2026-03-04T01:44:22.589681+00:00] [SOL] WARNING: Kraken Spot = $87.6700 | Coinbase Spot = $87.8250 | Diff = 0.1768%
[2026-03-04T03:13:56.982660+00:00] [BTC] WARNING: Kraken Spot = $68308.2000 | Coinbase Spot = $68170.9450 | Diff = 0.2009%
[2026-03-04T03:13:56.992578+00:00] [SOL] WARNING: Kraken Spot = $86.9100 | Coinbase Spot = $86.6000 | Diff = 0.3567%
[2026-03-04T03:13:57.116785+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3584 | Diff = 0.1536%
[2026-03-04T03:13:57.118222+00:00] [ETH] WARNING: Kraken Spot = $1976.5000 | Coinbase Spot = $1972.6050 | Diff = 0.1971%
[2026-03-04T03:13:57.689714+00:00] [ETH] WARNING: Kraken Spot = $1976.5000 | Coinbase Spot = $1972.6050 | Diff = 0.1971%
[2026-03-04T03:13:59.364467+00:00] [SOL] WARNING: Kraken Spot = $86.9100 | Coinbase Spot = $86.6400 | Diff = 0.3107%
[2026-03-04T03:13:59.371500+00:00] [BTC] WARNING: Kraken Spot = $68308.2000 | Coinbase Spot = $68178.0350 | Diff = 0.1906%
[2026-03-04T03:13:59.639565+00:00] [ETH] WARNING: Kraken Spot = $1976.5000 | Coinbase Spot = $1972.6050 | Diff = 0.1971%
[2026-03-04T03:13:59.734218+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:01.763029+00:00] [BTC] WARNING: Kraken Spot = $68308.2000 | Coinbase Spot = $68178.0350 | Diff = 0.1906%
[2026-03-04T03:14:01.787433+00:00] [ETH] WARNING: Kraken Spot = $1976.5000 | Coinbase Spot = $1973.0750 | Diff = 0.1733%
[2026-03-04T03:14:01.862655+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:02.035852+00:00] [SOL] WARNING: Kraken Spot = $86.9100 | Coinbase Spot = $86.6400 | Diff = 0.3107%
[2026-03-04T03:14:03.957587+00:00] [SOL] WARNING: Kraken Spot = $86.9100 | Coinbase Spot = $86.6000 | Diff = 0.3567%
[2026-03-04T03:14:03.959290+00:00] [ETH] WARNING: Kraken Spot = $1977.3100 | Coinbase Spot = $1972.6050 | Diff = 0.2379%
[2026-03-04T03:14:03.977093+00:00] [BTC] WARNING: Kraken Spot = $68308.2000 | Coinbase Spot = $68170.9450 | Diff = 0.2009%
[2026-03-04T03:14:04.089255+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:05.843557+00:00] [BTC] WARNING: Kraken Spot = $68308.2000 | Coinbase Spot = $68178.0350 | Diff = 0.1906%
[2026-03-04T03:14:05.901471+00:00] [SOL] WARNING: Kraken Spot = $86.9100 | Coinbase Spot = $86.6000 | Diff = 0.3567%
[2026-03-04T03:14:05.989140+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:06.069769+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:06.505317+00:00] [SOL] WARNING: Kraken Spot = $86.9100 | Coinbase Spot = $86.6000 | Diff = 0.3567%
[2026-03-04T03:14:08.217720+00:00] [BTC] WARNING: Kraken Spot = $68309.0000 | Coinbase Spot = $68178.0350 | Diff = 0.1917%
[2026-03-04T03:14:08.394115+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3584 | Diff = 0.1536%
[2026-03-04T03:14:08.583312+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:08.585375+00:00] [SOL] WARNING: Kraken Spot = $87.0100 | Coinbase Spot = $86.6000 | Diff = 0.4712%
[2026-03-04T03:14:10.490781+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:10.592963+00:00] [SOL] WARNING: Kraken Spot = $87.0100 | Coinbase Spot = $86.6000 | Diff = 0.4712%
[2026-03-04T03:14:10.682061+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:10.751902+00:00] [BTC] WARNING: Kraken Spot = $68348.0000 | Coinbase Spot = $68178.0350 | Diff = 0.2487%
[2026-03-04T03:14:12.827493+00:00] [SOL] WARNING: Kraken Spot = $87.0000 | Coinbase Spot = $86.6000 | Diff = 0.4598%
[2026-03-04T03:14:12.904755+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:12.935833+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:12.963527+00:00] [BTC] WARNING: Kraken Spot = $68348.0000 | Coinbase Spot = $68170.9450 | Diff = 0.2590%
[2026-03-04T03:14:14.981634+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:15.111529+00:00] [BTC] WARNING: Kraken Spot = $68348.0000 | Coinbase Spot = $68170.9450 | Diff = 0.2590%
[2026-03-04T03:14:15.229099+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6400 | Diff = 0.4023%
[2026-03-04T03:14:15.242787+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:15.639414+00:00] [BTC] WARNING: Kraken Spot = $68348.0000 | Coinbase Spot = $68170.9450 | Diff = 0.2590%
[2026-03-04T03:14:17.497833+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:17.500064+00:00] [BTC] WARNING: Kraken Spot = $68348.0000 | Coinbase Spot = $68170.9450 | Diff = 0.2590%
[2026-03-04T03:14:17.595865+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:17.654736+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:19.598953+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:19.601769+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:19.705537+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68178.0350 | Diff = 0.2485%
[2026-03-04T03:14:19.742108+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:21.694746+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2589%
[2026-03-04T03:14:21.697001+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:22.027884+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:22.032038+00:00] [ETH] WARNING: Kraken Spot = $1977.5100 | Coinbase Spot = $1972.6050 | Diff = 0.2480%
[2026-03-04T03:14:23.953874+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:23.956818+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:23.962156+00:00] [ETH] WARNING: Kraken Spot = $1977.5100 | Coinbase Spot = $1972.6050 | Diff = 0.2480%
[2026-03-04T03:14:24.119040+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2589%
[2026-03-04T03:14:26.027628+00:00] [ETH] WARNING: Kraken Spot = $1977.5100 | Coinbase Spot = $1972.6050 | Diff = 0.2480%
[2026-03-04T03:14:26.109895+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2589%
[2026-03-04T03:14:26.281389+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:26.286208+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:28.515059+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:28.517858+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:28.595228+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:28.627246+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68178.0350 | Diff = 0.2485%
[2026-03-04T03:14:30.413084+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:30.614280+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:30.623605+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:30.751956+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2589%
[2026-03-04T03:14:32.862080+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:32.890457+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2589%
[2026-03-04T03:14:33.101940+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:33.464790+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6400 | Diff = 0.4023%
[2026-03-04T03:14:35.340417+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:35.477750+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:35.547403+00:00] [XRP] WARNING: Kraken Spot = $1.3605 | Coinbase Spot = $1.3582 | Diff = 0.1683%
[2026-03-04T03:14:36.395346+00:00] [BTC] WARNING: Kraken Spot = $68347.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2589%
[2026-03-04T03:14:38.396099+00:00] [BTC] WARNING: Kraken Spot = $68322.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2224%
[2026-03-04T03:14:38.438548+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:38.445533+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:38.573033+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3582 | Diff = 0.1955%
[2026-03-04T03:14:40.396138+00:00] [BTC] WARNING: Kraken Spot = $68322.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2224%
[2026-03-04T03:14:40.408636+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:40.470745+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:40.564183+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3582 | Diff = 0.1955%
[2026-03-04T03:14:42.380634+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3584 | Diff = 0.1808%
[2026-03-04T03:14:42.452145+00:00] [BTC] WARNING: Kraken Spot = $68322.9000 | Coinbase Spot = $68178.0350 | Diff = 0.2120%
[2026-03-04T03:14:42.491319+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:42.590448+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:44.219895+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:44.327058+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1973.0750 | Diff = 0.2046%
[2026-03-04T03:14:44.334423+00:00] [BTC] WARNING: Kraken Spot = $68322.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2224%
[2026-03-04T03:14:44.465112+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3582 | Diff = 0.1955%
[2026-03-04T03:14:46.332668+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3582 | Diff = 0.1955%
[2026-03-04T03:14:46.402076+00:00] [BTC] WARNING: Kraken Spot = $68322.9000 | Coinbase Spot = $68170.9450 | Diff = 0.2224%
[2026-03-04T03:14:46.426564+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6400 | Diff = 0.4023%
[2026-03-04T03:14:46.490451+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:48.546779+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:48.611413+00:00] [BTC] WARNING: Kraken Spot = $68309.1000 | Coinbase Spot = $68178.0350 | Diff = 0.1919%
[2026-03-04T03:14:48.623620+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:50.595942+00:00] [BTC] WARNING: Kraken Spot = $68309.1000 | Coinbase Spot = $68170.9450 | Diff = 0.2022%
[2026-03-04T03:14:50.720898+00:00] [XRP] WARNING: Kraken Spot = $1.3603 | Coinbase Spot = $1.3582 | Diff = 0.1536%
[2026-03-04T03:14:50.737761+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6400 | Diff = 0.4023%
[2026-03-04T03:14:50.750108+00:00] [ETH] WARNING: Kraken Spot = $1977.1200 | Coinbase Spot = $1972.6050 | Diff = 0.2284%
[2026-03-04T03:14:52.694013+00:00] [SOL] WARNING: Kraken Spot = $86.9900 | Coinbase Spot = $86.6000 | Diff = 0.4483%
[2026-03-04T03:14:52.808043+00:00] [ETH] WARNING: Kraken Spot = $1976.7100 | Coinbase Spot = $1972.6050 | Diff = 0.2077%
[2026-03-04T03:14:52.811416+00:00] [XRP] WARNING: Kraken Spot = $1.3603 | Coinbase Spot = $1.3582 | Diff = 0.1536%
[2026-03-04T03:14:52.835513+00:00] [BTC] WARNING: Kraken Spot = $68294.9000 | Coinbase Spot = $68170.9450 | Diff = 0.1815%
[2026-03-04T03:14:54.698773+00:00] [BTC] WARNING: Kraken Spot = $68294.9000 | Coinbase Spot = $68178.0350 | Diff = 0.1711%
[2026-03-04T03:14:54.740695+00:00] [SOL] WARNING: Kraken Spot = $86.8200 | Coinbase Spot = $86.6400 | Diff = 0.2073%
[2026-03-04T03:14:54.779149+00:00] [ETH] WARNING: Kraken Spot = $1976.7100 | Coinbase Spot = $1973.0750 | Diff = 0.1839%
[2026-03-04T03:14:56.541036+00:00] [SOL] WARNING: Kraken Spot = $86.8200 | Coinbase Spot = $86.6000 | Diff = 0.2534%
[2026-03-04T03:14:56.678576+00:00] [BTC] WARNING: Kraken Spot = $68294.9000 | Coinbase Spot = $68170.9450 | Diff = 0.1815%
[2026-03-04T03:14:56.772270+00:00] [ETH] WARNING: Kraken Spot = $1976.7100 | Coinbase Spot = $1972.6050 | Diff = 0.2077%
[2026-03-04T03:14:58.548267+00:00] [BTC] WARNING: Kraken Spot = $68298.8000 | Coinbase Spot = $68178.0350 | Diff = 0.1768%
[2026-03-04T03:14:58.661461+00:00] [XRP] WARNING: Kraken Spot = $1.3606 | Coinbase Spot = $1.3582 | Diff = 0.1713%
[2026-03-04T03:14:58.673152+00:00] [ETH] WARNING: Kraken Spot = $1976.7100 | Coinbase Spot = $1972.6050 | Diff = 0.2077%
[2026-03-04T03:14:58.778488+00:00] [SOL] WARNING: Kraken Spot = $86.8700 | Coinbase Spot = $86.6000 | Diff = 0.3108%
[2026-03-04T03:15:00.800948+00:00] [BTC] WARNING: Kraken Spot = $68298.8000 | Coinbase Spot = $68178.0350 | Diff = 0.1768%
[2026-03-04T03:15:00.803363+00:00] [SOL] WARNING: Kraken Spot = $86.8700 | Coinbase Spot = $86.6000 | Diff = 0.3108%
[2026-03-04T03:15:00.808163+00:00] [XRP] WARNING: Kraken Spot = $1.3606 | Coinbase Spot = $1.3584 | Diff = 0.1566%
[2026-03-04T03:15:00.830071+00:00] [ETH] WARNING: Kraken Spot = $1976.7100 | Coinbase Spot = $1972.6050 | Diff = 0.2077%
[2026-03-04T03:44:17.027330+00:00] [SOL] WARNING: Kraken Spot = $85.3600 | Coinbase Spot = $85.5500 | Diff = 0.2226%
[2026-03-04T03:44:21.123214+00:00] [SOL] WARNING: Kraken Spot = $85.3500 | Coinbase Spot = $85.4800 | Diff = 0.1523%
[2026-03-04T03:44:27.707386+00:00] [SOL] WARNING: Kraken Spot = $85.2900 | Coinbase Spot = $85.4800 | Diff = 0.2228%
[2026-03-04T03:44:32.117740+00:00] [SOL] WARNING: Kraken Spot = $85.3100 | Coinbase Spot = $85.4800 | Diff = 0.1993%
[2026-03-04T03:44:33.969023+00:00] [SOL] WARNING: Kraken Spot = $85.3100 | Coinbase Spot = $85.4800 | Diff = 0.1993%
[2026-03-04T03:44:45.161938+00:00] [SOL] WARNING: Kraken Spot = $85.4200 | Coinbase Spot = $85.2850 | Diff = 0.1580%
[2026-03-04T03:59:19.472263+00:00] [XRP] WARNING: Kraken Spot = $1.3527 | Coinbase Spot = $1.3505 | Diff = 0.1604%
[2026-03-04T06:14:52.574247+00:00] [SOL] WARNING: Kraken Spot = $85.2200 | Coinbase Spot = $85.0750 | Diff = 0.1701%
[2026-03-04T06:14:54.856414+00:00] [SOL] WARNING: Kraken Spot = $85.2200 | Coinbase Spot = $85.0750 | Diff = 0.1701%
[2026-03-04T06:14:57.323256+00:00] [SOL] WARNING: Kraken Spot = $85.2300 | Coinbase Spot = $85.0900 | Diff = 0.1643%
[2026-03-04T06:14:59.292588+00:00] [SOL] WARNING: Kraken Spot = $85.2300 | Coinbase Spot = $85.0900 | Diff = 0.1643%
[2026-03-04T06:43:01.195784+00:00] [SOL] WARNING: Kraken Spot = $85.8400 | Coinbase Spot = $85.9950 | Diff = 0.1806%
[2026-03-04T06:43:03.271883+00:00] [SOL] WARNING: Kraken Spot = $85.8400 | Coinbase Spot = $85.9950 | Diff = 0.1806%
[2026-03-04T07:28:53.853069+00:00] [BTC] WARNING: Kraken Spot = $68657.9000 | Coinbase Spot = $68540.9650 | Diff = 0.1703%
[2026-03-04T07:28:55.713579+00:00] [BTC] WARNING: Kraken Spot = $68658.8000 | Coinbase Spot = $68540.9650 | Diff = 0.1716%
[2026-03-04T07:28:57.583191+00:00] [BTC] WARNING: Kraken Spot = $68668.7000 | Coinbase Spot = $68540.9650 | Diff = 0.1860%
[2026-03-04T07:28:58.302910+00:00] [BTC] WARNING: Kraken Spot = $68668.7000 | Coinbase Spot = $68540.9650 | Diff = 0.1860%
[2026-03-04T07:29:00.527324+00:00] [BTC] WARNING: Kraken Spot = $68673.8000 | Coinbase Spot = $68540.9650 | Diff = 0.1934%
[2026-03-04T07:29:03.575935+00:00] [BTC] WARNING: Kraken Spot = $68669.7000 | Coinbase Spot = $68540.9650 | Diff = 0.1875%
[2026-03-04T07:29:04.219448+00:00] [BTC] WARNING: Kraken Spot = $68669.7000 | Coinbase Spot = $68540.9650 | Diff = 0.1875%
[2026-03-04T07:29:04.649153+00:00] [BTC] WARNING: Kraken Spot = $68669.7000 | Coinbase Spot = $68540.9650 | Diff = 0.1875%
[2026-03-04T07:44:42.996426+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.5850 | Diff = 0.1992%
[2026-03-04T07:44:43.876860+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.5850 | Diff = 0.1992%
[2026-03-04T07:44:44.098776+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.5850 | Diff = 0.1992%
[2026-03-04T07:44:46.029718+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.3450 | Diff = 0.2112%
[2026-03-04T07:44:46.567015+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.3450 | Diff = 0.2112%
[2026-03-04T07:44:49.318823+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.5850 | Diff = 0.1992%
[2026-03-04T07:44:49.927005+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.5850 | Diff = 0.1992%
[2026-03-04T07:44:50.402645+00:00] [ETH] WARNING: Kraken Spot = $1995.5600 | Coinbase Spot = $1991.5850 | Diff = 0.1992%
[2026-03-04T07:58:35.811395+00:00] [XRP] WARNING: Kraken Spot = $1.3744 | Coinbase Spot = $1.3721 | Diff = 0.1673%
[2026-03-04T07:58:37.353576+00:00] [SOL] WARNING: Kraken Spot = $87.4000 | Coinbase Spot = $87.2550 | Diff = 0.1659%
